price;discription;location;Bedrooms;Bathrooms;Parking_spaces;floor_size
599000;2 Bedroom Apartment;Fleurhof;2;1;1;41 m²
650000;2 Bedroom Apartment;Theresapark;2;1;1;67 m²
729999;2 Bedroom Apartment;Monavoni;2;1;1;75 m²
848999;2 Bedroom Apartment;Monavoni;2;1;2;56 m²
820000;2 Bedroom Apartment;Eveleigh;2;1;1;58 m²
665000;1 Bedroom Apartment;Fourways;1;1;1;45 m²
975000;2 Bedroom Apartment;Lynnwood Manor;2;1;1;56 m²
975000;2 Bedroom Apartment;Lynnwood Ridge;2;1;1;56 m²
720000;2 Bedroom Apartment;Sugar Bush Estate;2;1;1;65 m²
520000;2 Bedroom Apartment;Krugersdorp North;2;1;1;70 m²
650000;2 Bedroom Apartment;Die Hoewes;2;1;1;74 m²
1089900;2 Bedroom Apartment;Carlswald;2;2;1;67 m²
665000;1 Bedroom Apartment;Fourways;1;1;1;45 m²
750000;3 Bedroom Apartment;Pollak Park;3;3;1;173 m²
;;;;;;
865000;2 Bedroom Apartment;La Montagne;2;1;1;56 m²
1350000;2 Bedroom Apartment;Eagle Canyon Golf Estate;2;2;2;85 m²
1229900;2 Bedroom Apartment;Carlswald;2;2;1;75 m²
525000;2 Bedroom Apartment;Honeypark;2;1;1;62 m²
430000;2 Bedroom Apartment;Krugersrus;2;1;2;52 m²
795000;2 Bedroom Apartment;Northgate;2;2;1;110 m²
420000;1 Bedroom Apartment;Windsor East;1;1;2;67 m²
735000;2 Bedroom Apartment;Radiokop;2;1;;60 m²
750000;2 Bedroom Apartment;Florida;2;1;1;90 m²
995000;2 Bedroom Apartment;Parkwood;2;2;1;99 m²
1390000;3 Bedroom Apartment;Paulshof;3;2;2;111 m²
17800000;3 Bedroom Apartment;Rosebank;3;3;3;417 m²
730000;2 Bedroom Apartment;North Riding;2;2;1;95 m²
1229900;2 Bedroom Apartment;Carlswald;2;2;1;75 m²
1775000;2 Bedroom Apartment;Menlo Park;2;1;1;71 m²
950000;1 Bedroom Apartment;Sandown;1;1;2;65 m²
2350000;3 Bedroom Apartment;Menlo Park;3;2;2;114 m²
685000;2 Bedroom Apartment;Vorna Valley;2;2;1;84 m²
499000;2 Bedroom Apartment;Casseldale;2;1;1;85 m²
